GAME_ID,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,AST_home,AST_away,REB_home,REB_away,FG_PCT_home,FG_PCT_away,FG3_PCT_home,FG3_PCT_away,FT_PCT_home,FT_PCT_away,IS_HOME,GSW_WIN,GSW_AST,GSW_REB,GSW_FG_PCT,GSW_FG3_PCT,GSW_FT_PCT
42100231,2022-05-01,1610612763,1610612744,116.0,117.0,26.0,31.0,46.0,52.0,0.432,0.484,0.4,0.368,0.75,0.65,False,True,31.0,52.0,0.484,0.368,0.65
42100165,2022-04-27,1610612744,1610612743,102.0,98.0,28.0,26.0,37.0,50.0,0.451,0.444,0.419,0.207,0.714,0.69,True,True,28.0,37.0,0.451,0.419,0.714
42100164,2022-04-24,1610612743,1610612744,126.0,121.0,28.0,26.0,33.0,36.0,0.562,0.5,0.484,0.353,0.806,0.719,False,False,26.0,36.0,0.5,0.353,0.719
42100163,2022-04-21,1610612743,1610612744,113.0,118.0,25.0,29.0,44.0,30.0,0.5,0.554,0.423,0.45,0.815,0.643,False,True,29.0,30.0,0.554,0.45,0.643
42100162,2022-04-18,1610612744,1610612743,126.0,106.0,27.0,20.0,35.0,47.0,0.548,0.425,0.425,0.361,0.708,0.905,True,True,27.0,35.0,0.548,0.425,0.708
42100161,2022-04-16,1610612744,1610612743,123.0,107.0,33.0,26.0,41.0,35.0,0.524,0.462,0.457,0.314,0.724,0.769,True,True,33.0,41.0,0.524,0.457,0.724
22101225,2022-04-10,1610612740,1610612744,107.0,128.0,24.0,33.0,42.0,41.0,0.424,0.605,0.35,0.576,0.75,0.846,False,True,33.0,41.0,0.605,0.576,0.846
22101215,2022-04-09,1610612759,1610612744,94.0,100.0,19.0,23.0,41.0,51.0,0.4,0.407,0.323,0.25,0.741,0.788,False,True,23.0,51.0,0.407,0.25,0.788
22101202,2022-04-07,1610612744,1610612747,128.0,112.0,39.0,14.0,45.0,42.0,0.526,0.446,0.5,0.281,1.0,0.763,True,True,39.0,45.0,0.526,0.5,1.0
22101176,2022-04-03,1610612758,1610612744,90.0,109.0,19.0,29.0,35.0,47.0,0.383,0.519,0.212,0.471,0.875,0.733,False,True,29.0,47.0,0.519,0.471,0.733
22101165,2022-04-02,1610612744,1610612762,111.0,107.0,30.0,19.0,41.0,47.0,0.476,0.427,0.417,0.326,0.917,0.727,True,True,30.0,41.0,0.476,0.417,0.917
22101145,2022-03-30,1610612744,1610612756,103.0,107.0,26.0,20.0,48.0,46.0,0.422,0.413,0.342,0.25,0.8,0.8,True,False,26.0,48.0,0.422,0.342,0.8
22101129,2022-03-28,1610612763,1610612744,123.0,95.0,26.0,18.0,52.0,40.0,0.467,0.407,0.4,0.31,0.714,0.769,False,False,18.0,40.0,0.407,0.31,0.769
22101117,2022-03-27,1610612764,1610612744,123.0,115.0,33.0,20.0,42.0,46.0,0.524,0.427,0.571,0.242,0.864,0.795,False,False,20.0,46.0,0.427,0.242,0.795
22101102,2022-03-25,1610612737,1610612744,121.0,110.0,27.0,27.0,44.0,47.0,0.517,0.478,0.378,0.341,0.789,0.769,False,False,27.0,47.0,0.478,0.341,0.769
22101088,2022-03-23,1610612748,1610612744,104.0,118.0,26.0,23.0,34.0,45.0,0.435,0.519,0.389,0.417,0.762,0.852,False,True,23.0,45.0,0.519,0.417,0.852
22101080,2022-03-22,1610612753,1610612744,94.0,90.0,25.0,21.0,39.0,48.0,0.43,0.4,0.278,0.344,0.8,0.688,False,False,21.0,48.0,0.4,0.344,0.688
22101070,2022-03-20,1610612744,1610612759,108.0,110.0,26.0,25.0,57.0,44.0,0.456,0.388,0.333,0.375,0.714,0.76,True,False,26.0,57.0,0.456,0.333,0.714
22101042,2022-03-16,1610612744,1610612738,88.0,110.0,19.0,23.0,38.0,53.0,0.372,0.469,0.229,0.375,0.813,0.864,True,False,19.0,38.0,0.372,0.229,0.813
22101025,2022-03-14,1610612744,1610612764,126.0,112.0,26.0,28.0,44.0,35.0,0.536,0.512,0.4,0.385,0.818,0.783,True,True,26.0,44.0,0.536,0.4,0.818
22101008,2022-03-12,1610612744,1610612749,122.0,109.0,33.0,27.0,55.0,39.0,0.484,0.413,0.4,0.386,0.933,0.696,True,True,33.0,55.0,0.484,0.4,0.933
